user_id,anime_id,rating
71,164,10
816,431,9
816,16870,7
816,199,8
816,164,9
816,512,7
816,7711,9
816,33783,7
816,10029,6
1043,356,8
1043,11597,7
1043,1210,8
1043,15689,7
1043,13093,7
1043,12467,7
1043,20,5
1043,16762,6
1043,17074,8
1043,19815,9
1043,8460,6
1043,10620,9
1043,21603,6
1043,2926,7
1043,14527,8
1043,11933,6
1043,25161,9
1043,14407,6
1043,5530,6
1043,853,7
1043,19221,8
1043,6007,6
1043,5341,6
1043,2966,7
1043,2386,8
1043,6324,5
1043,2680,7
1043,2490,7
1043,2385,7
1043,15323,9
1043,16239,9
1043,12859,9
1043,8740,7
1043,4155,9
1043,9999,5
1043,2020,7
1043,11761,8
1043,14513,8
1043,17725,7
1043,1707,4
1043,11313,6
1043,17741,6
1043,3318,5
1043,8425,8
1043,147,6
1043,18679,9
1043,8532,6
1043,1604,8
1043,3782,7
1043,2593,7
1043,1530,7
1043,19685,7
1043,15117,8
1043,11507,7
1043,5967,4
1043,9756,6
1043,5968,4
1043,16001,8
1043,10588,9
1043,19111,7
1043,15051,7
1043,17265,8
1043,17643,7
1043,18195,9
1043,20517,8
1043,13655,9
1043,7148,6
1043,15379,7
1043,16782,8
1043,10209,6
1043,15437,7
1043,10790,7
1043,8841,6
1043,11887,8
1043,13587,9
1043,20159,7
1043,5682,7
1043,8937,8
1043,4654,8
1043,16049,9
1043,6213,8
1043,9941,8
1043,10278,8
1043,2752,7
1043,4053,7
1043,995,7
1043,10731,7
1043,815,7
1043,22,7
1043,8348,6
1043,4705,7
1043,10622,7
1043,2236,7
1043,3352,8
1043,14227,8
1043,20977,7
1043,14075,8
1043,1195,7
1043,1894,5
1043,481,5
1043,18179,9
1043,8861,6
1043,16742,7
1043,21189,7
1043,14283,6
1043,10162,8
1043,14173,5
1043,12317,7
1043,6,8
1043,4224,8
1043,24365,8
1043,18139,8
1043,6548,6
1043,4565,10
1043,4107,9
1043,355,6
1043,18119,8
1043,10464,7
1043,5909,8
1043,10073,6
1043,6500,6
1043,2476,7
1043,13759,8
1043,4214,6
1043,2993,6
1043,13599,7
1043,6675,9
1043,13601,7
1043,11583,6
1043,1117,6
1043,1559,9
1043,11813,7
1043,11371,7
1043,16498,8
1043,2001,10
1043,11757,8
1043,4382,8
1043,849,8
1043,7311,9
1043,5681,7
1043,14289,6
1043,24075,7
1043,2418,8
1043,11577,9
1043,9253,10
1043,3470,6
1043,3588,8
1043,6802,7
1043,9863,9
1043,79,7
1043,10863,9
1043,16706,9
1043,8525,9
1043,10805,6
1043,10491,6
1043,16700,8
1043,1889,8
1043,934,8
1043,9515,6
1043,8074,8
1043,13357,5
1043,15451,8
1043,11617,7
1043,6637,7
1043,6372,7
1043,5630,7
1043,10604,4
1043,8630,6
1043,777,8
1043,3652,7
1043,16199,5
1043,874,4
1043,1313,5
1043,4037,6
1043,2383,5
1043,20031,8
1043,1482,8
1043,16592,8
1043,11843,7
1043,2025,8
1043,4182,6
1043,7338,8
1043,6573,6
1043,15583,8
1043,19163,8
1043,6880,6
1043,1535,6
1043,552,6
1043,2961,6
1043,14131,7
1043,18229,7
1043,395,6
1043,11783,6
1043,223,6
1043,813,6
1043,6746,9
1043,8408,8
1043,4789,8
1043,6401,7
1043,2924,9
1043,6361,8
1043,2759,7
1043,3784,8
1043,3785,7
1043,6702,10
1043,12049,8
1043,9982,7
1043,10155,6
1043,19647,9
1043,20689,6
1043,21855,8
1043,384,6
1043,5114,8
1043,245,9
1043,297,7
1043,13161,6
1043,20583,9
1043,11785,7
1043,5,9
1043,263,9
1043,264,9
1043,265,9
1043,5258,9
1043,121,8
1043,227,7
1043,11741,8
1043,10087,9
1043,12069,8
1043,9675,6
1043,1,8
1043,2904,9
1043,13939,7
1043,101,6
1043,12149,7
1043,14941,7
1043,8676,6
1043,6547,10
1043,10067,9
1043,9989,9
1043,15039,9
1043,11433,8
1043,11111,8
1043,11701,6
1043,9919,7
1043,11266,3
1043,15133,6
1043,11759,8
1043,7817,5
1043,2899,6
1043,12189,8
1043,10080,9
1043,6922,8
1043,10298,6
1043,7054,7
1043,6862,6
1043,9734,6
1043,7791,8
1043,9617,8
1043,5680,7
1043,14467,8
1043,20899,9
1043,10794,6
1043,9041,6
1043,7088,7
1043,13469,6
1043,21431,7
1043,2251,8
1043,3901,8
1043,6347,8
1043,1689,8
1043,4975,7
1043,14741,8
1043,15687,7
1043,18671,7
1043,15879,6
1043,16934,8
1043,2167,10
1043,1723,9
1043,4181,10
1043,6351,9
1043,4059,9
1043,8888,7
1043,1575,9
1043,12685,6
1043,1536,7
1043,14345,7
1043,2131,5
1043,357,5
1043,8516,7
1043,7870,4
1043,7805,6
1043,5081,7
1043,57,8
1043,889,8
1043,8440,5
1043,11703,7
1043,4901,9
1043,12079,7
1043,7059,7
1043,11285,8
1043,10719,7
1043,10897,6
1043,14027,6
1043,21405,8
1043,1519,8
1043,11061,10
1043,14967,8
1054,6811,10
1287,10396,9
1287,23277,8
1287,30831,9
1287,32937,9
1287,10790,8
1287,20785,8
1287,2581,7
1287,3927,7
1287,6288,6
1287,31251,1
1287,12467,8
1287,8769,6
1287,15451,8
1287,13659,6
1287,22663,7
1287,18277,8
1287,30321,7
1287,11757,8
1287,21881,8
1287,4224,7
1287,25157,7
1287,33581,7
1287,16742,9
1287,14075,8
1287,10156,7
1287,24703,9
1287,8841,8
1287,8630,7
1287,11617,8
1287,6682,6
1287,30123,8
1287,21405,7
1287,1575,9
1287,2904,9
1287,31173,8
1287,32801,9
1287,18001,7
1287,28907,9
1287,31637,9
1287,28121,9
2023,11757,5
2023,34914,7
2023,339,8
2023,31953,6
2023,872,8
2023,1488,8
2023,9756,7
2023,33489,7
2023,43,7
2023,35363,9
2023,20509,5
2023,30276,8
2023,3089,7
2023,33206,9
2023,27525,6
2023,1379,8
2023,486,9
2023,18679,7
2023,33089,4
2023,14719,8
2023,34902,6
2023,26055,8
2023,31933,8
2023,6954,5
2023,14807,7
2023,5680,7
2023,3782,8
2023,2593,7
2023,7791,8
2023,35079,7
2023,20899,8
2023,20047,5
2023,5204,7
2023,15699,5
2023,5205,9
2023,11785,4
2023,39417,8
2023,268,7
2023,34280,5
2023,5114,10
2023,31706,7
2023,284,6
2023,32379,5
2023,36308,8
2023,34618,7
2023,33988,7
2023,35120,7
2023,3783,8
2023,4280,8
2023,14829,6
2023,431,9
2023,468,7
2023,10162,9
2023,4282,9
2778,20021,8
2778,3457,8
2778,12711,10
2778,10321,10
2778,4224,8
2778,16099,7
2778,11757,10
2778,5262,8
2778,7082,5
2778,2923,7
2778,13759,9
2778,19815,10
2778,18897,9
2778,20,8
2778,4898,8
2778,20507,10
2778,11771,10
2778,6547,9
2778,9989,9
2778,11111,9
2778,16894,9
2778,2167,8
2778,4181,8
2778,18507,10
2778,21995,9
2778,10408,10
2778,11013,9
2778,13403,9
2778,7054,9
2778,14713,8
2778,17895,8
2778,16742,6
3272,38101,9
3272,15051,10
3272,19769,9
3272,14513,10
3272,18115,10
3272,24455,9
3272,24997,10
3272,32526,9
3272,20745,7
3272,19111,9
3272,17265,10
3272,18195,9
3272,20517,8
3272,13655,9
3272,39531,10
3272,25283,8
3272,18045,9
3272,12175,8
3272,28851,10
3272,10213,7
3272,33487,7
3272,10110,9
3272,31442,10
3272,25867,10
3272,28497,7
3272,31240,10
3272,35760,9
3272,25777,10
3272,18397,9
3272,30296,8
3272,26243,9
3272,37475,8
3272,2159,8
3272,27787,10
3272,24227,9
3272,18897,10
3272,31414,8
3272,31764,10
3272,30347,8
3272,16067,8
3272,2926,7
3272,30276,9
3272,32281,10
3272,32686,10
3272,21511,9
3272,10470,9
3272,14131,8
3272,27633,9
3272,23289,9
3272,31637,10
3272,28907,10
3272,18507,9
3272,356,9
3272,21431,7
3272,28121,8
3272,30383,8
3272,34525,7
3272,14967,8
3272,10719,9
3272,33486,10
3272,31964,9
3272,40060,9
3272,39195,10
3272,34497,7
3272,23273,10
3272,31629,9
3272,40052,10
3272,5680,9
3272,38790,8
3272,25159,9
3272,10507,9
3272,5231,10
3272,31500,9
3272,15451,9
3272,11617,8
3272,34279,10
3272,31665,9
3272,15225,8
3272,9289,8
3272,32561,7
3272,31859,10
3272,10793,7
3272,29095,9
3272,29093,9
3272,17729,8
3272,27989,10
3272,16498,10
3272,13759,10
3272,19759,8
3272,28677,10
3272,33161,10
3272,23847,10
3272,14813,10
3272,21085,10
3272,19023,9
3272,37521,9
3272,4224,9
3272,16049,10
3272,6213,9
3272,25397,10
3272,13939,8
3272,39057,9
3272,28249,10
3272,28391,10
3272,28405,7
3272,30654,10
3272,24833,9
3272,9989,10
3272,9062,8
3272,6547,10
3272,22147,8
3272,24751,8
3272,19429,9
3272,31821,10
3272,31245,8
3272,34176,10
3272,31765,10
3272,33036,8
3272,30919,8
3272,11757,9
3272,21881,8
3272,11759,9
3272,23209,9
3272,33558,9
3272,24459,10
3272,19211,10
3272,37430,10
3272,23587,9
3272,30344,9
3272,11889,9
3272,25781,9
3272,38524,10
3272,10278,9
3272,16524,10
3392,4177,7
3392,10161,6
3392,11597,8
3392,1210,8
3392,7647,1
3392,20,5
3392,3342,6
3392,10620,8
3392,11761,6
3392,10110,7
3392,9936,7
3392,6030,7
3392,6512,7
3392,853,5
3392,9756,8
3392,11319,6
3392,1840,7
3392,6880,7
3392,2476,7
3392,11499,7
3392,12531,8
3392,4214,4
3392,8769,7
3392,2993,4
3392,60,7
3392,4975,7
3392,11227,6
3392,6114,10
3392,5682,8
3392,11241,6
3392,5530,8
3392,4186,7
3392,3572,7
3392,10456,6
3392,7817,5
3392,7054,5
3392,5680,5
3392,953,7
3392,9750,5
3392,5781,7
3392,5525,6
3392,6682,7
3392,101,8
3392,857,7
3392,6547,7
3392,9989,9
3392,11433,6
3392,9919,7
3392,10447,7
3392,4657,6
3392,10568,5
3392,6594,7
3392,1691,5
3392,6205,6
3392,3653,7
3392,237,8
3392,10790,8
3392,1222,10
3392,1519,6
3392,3712,7
3392,889,6
3392,1887,4
3392,1195,7
3392,5081,8
3392,2251,8
3392,8841,5
3392,7593,4
3392,9656,6
3392,10079,7
3392,6045,6
3392,10396,6
3392,9331,5
3392,4224,7
3392,4752,7
3392,9041,6
3392,10863,9
3392,4884,8
3392,12445,9
3392,3594,7
3392,1818,9
3392,934,5
3392,8074,8
3392,11617,5
3392,5630,6
3392,8630,6
3392,2002,8
3392,3299,7
3392,10793,8
3392,5507,8
3392,940,5
3392,199,7
3392,248,6
3392,1575,8
3392,2167,8
3392,79,7
3392,7662,7
3392,154,5
3392,6979,6
3392,5958,6
3392,3588,6
3392,6573,8
3392,7338,6
3392,9253,8
3392,2025,8
3392,8915,7
3392,11843,8
3392,6747,5
3392,2904,9
3392,7088,5
3392,4415,8
3392,8675,4
3392,5940,7
3392,8277,5
3392,4726,8
3392,2001,9
3392,2158,8
3392,6211,6
3392,3230,8
3392,6746,8
3392,2432,5
3392,177,6
3392,969,6
3392,4896,8
3392,1535,9
3392,856,7
3392,3457,7
3392,8086,8
3392,5909,4
3392,226,9
3392,790,8
3392,6444,5
3392,8425,7
3392,2494,6
3392,395,9
3392,384,8
3392,382,5
3392,5114,8
3392,1250,7
3392,73,6
3392,120,7
3392,9367,6
3392,9314,8
3392,2952,7
3392,11741,10
3392,10087,9
3392,71,5
3392,4181,10
4139,4181,10
4139,1575,7
4139,2904,9
4139,1689,9
4139,1571,6
4139,199,8
4139,6773,7
4139,2787,6
4139,6572,6
4139,23273,7
4139,7724,10
4139,16498,7
4139,14741,7
4139,355,6
4139,2167,8
4139,14811,5
4139,3712,4
4139,13125,9
4139,9253,10
4139,16524,7
4139,14289,6
4139,5681,10
4139,7311,8
4139,849,5
4139,11757,3
4139,12445,8
4139,15125,4
4139,2001,8
4139,4654,5
4139,2236,7
4139,14227,6
4139,4224,7
4139,10798,6
4139,10162,8
4139,14283,6
4139,8861,5
4139,550,4
4139,482,3
4139,10495,6
4139,1195,4
4139,11319,5
4139,1840,4
4139,14075,9
4139,14345,7
4139,2759,8
4139,10719,6
4139,16782,8
4139,15379,6
4139,3358,8
4139,10456,6
4139,10893,4
4139,14349,6
4139,9756,10
4139,11981,10
4139,11761,7
4139,10790,7
4139,14527,8
4139,15315,7
4139,15689,9
4139,30,8
4139,32,9
4139,19815,6
4139,6512,6
4139,11933,7
4139,2966,8
4139,5341,8
4139,10620,8
4139,8841,6
4139,16001,8
4139,11887,7
4139,11785,5
4139,15809,6
4139,15225,6
4139,11617,6
4139,934,7
4139,17651,6
4139,18229,7
4139,5114,10
4139,1889,9
4139,12189,5
4139,11013,6
4139,14467,6
4139,11741,8
4139,10087,8
4139,5680,4
4139,8525,5
4139,14713,7
4139,10568,7
4139,6045,6
4139,11313,6
4139,9260,8
4139,8769,6
4139,13659,6
4139,14749,6
4139,11179,5
4139,11759,7
4139,6547,6
4139,14967,6
4139,11433,5
4139,11111,6
4139,9919,5
4139,5081,10
4139,13535,7
4139,20787,7
4139,7059,5
4139,11285,4
4139,1686,6
4139,2889,4
4139,4835,5
4139,8247,5
4139,11633,6
4139,16592,6
4139,11843,5
4139,8915,5
4139,9989,8
4139,7338,8
4139,13601,7
4139,14921,6
4139,12477,8
4139,13759,6
4139,2025,8
4139,14515,6
4139,2476,9
4139,8675,7
4139,11499,7
4139,356,7
4139,3785,8
4139,3784,8
4139,226,4
4139,6746,6
4139,9379,6
4139,1535,8
4139,6573,7
4139,6922,5
4483,1239,10
4483,877,7
